2026-01-20 16:45:15,084 | INFO | Scan started for unitysol.com
2026-01-20 16:45:24,845 | INFO | DNS enumeration done
2026-01-20 16:45:28,143 | INFO | WHOIS lookup done
2026-01-20 16:47:10,976 | INFO | Scan started for unitysol.com
2026-01-20 16:47:19,302 | INFO | DNS enumeration done
2026-01-20 16:47:22,379 | INFO | WHOIS lookup done
2026-01-20 16:47:25,112 | INFO | Subdomain enumeration done
2026-01-20 16:47:30,101 | INFO | Port scanning done
2026-01-20 16:52:10,874 | INFO | Scan started for unitysol.com
2026-01-20 16:52:20,077 | INFO | DNS enumeration done
2026-01-20 16:52:23,395 | INFO | WHOIS lookup done
2026-01-20 16:52:38,566 | INFO | Subdomain enumeration done
2026-01-20 16:52:43,568 | INFO | Port scanning done
2026-01-20 17:10:08,972 | INFO | Scan started for unitysol.com
2026-01-20 17:10:21,556 | INFO | Scan completed successfully
2026-01-20 17:12:01,968 | INFO | Scan started for unitysol.com
2026-01-20 17:12:42,490 | INFO | Scan completed successfully
2026-01-20 17:13:47,837 | INFO | Scan started for unitysol.com
2026-01-20 17:13:56,398 | INFO | Scan completed successfully
2026-01-20 17:17:05,522 | INFO | Scan started for unitysol.com
2026-01-20 17:17:17,822 | INFO | Scan completed successfully
2026-01-20 17:22:01,496 | INFO | Scan started for google.com
2026-01-20 17:22:11,752 | INFO | Scan started for google.com
2026-01-20 17:23:07,426 | INFO | Scan completed successfully
2026-01-20 17:35:02,556 | INFO | Scan started for google.com
2026-01-20 17:35:57,094 | INFO | Scan completed successfully
2026-01-21 14:23:06,130 | INFO | Scan started for example.com
2026-01-21 14:23:07,791 | INFO | Scan completed successfully
2026-01-22 07:05:02,923 | INFO | Scan started for example.com
2026-01-22 07:05:16,438 | INFO | Scan completed successfully
